Component ID,Component Name*,Description,Comment,Quality,Location,PA,In Cubicle,Controller,Mnemonic Name,,,,,,TO BE ADDED,,
D1-N9-GAA0-COMP-001,55GAA0-CU-7302,Local Control Cubicle for UP#14,,confirmed good,74-L2-04,PA 5.5.P3.US.01,N/A,N/A,,,,,,Tag,Description,Location,
D1-N9-GAA0-COMP-002,55GAA0-PLC-9003,Cubicle monitoring with Siemens Simatic PLC,Siemens Simatic S7-1200,confirmed good,74-L2-04,PA 5.5.P3.US.01,55GAA0-CU-7301,N/A,,,,,,MZH-0323,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-003,55GAA0-SWT-9003,"Managed 24-port Full Gigabit 19"" Switch with redundant PSU ","Hirschmann MACH 104, mach104-20tx-fr HIR942003101 ",confirmed good,74-L1-04,PA 5.5.P3.US.01,55GAA0-CU-7301,N/A,,,,,,MZL-0323,low limit switch,valve box,DONE
D1-N9-GAA0-COMP-004,55GAA0-PCF-9003,I&C Grade HDEC PC 4U Computer,ID01549-A-006/ITER (Master Controller),confirmed good,74-L1-04,PA 5.5.P3.US.01,55GAA0-CU-7302,N/A,,Already in diagram,,,,ATG-0010,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-005,55GAA0-PCF-9004,DAQ Grade HDEC PC 4U Computer,ID01812-B-001/ITER #1,confirmed good,74-L1-04,PA 5.5.P3.US.01,55GAA0-CU-7301,N/A,,,,,,MP-0001,pressure transmitter,valve box,DONE
D1-N9-GAA0-COMP-006,55GAA0-PCF-9002,DAQ Grade HDEC PC 4U Computer,ID01812-B-001/ITER #2,confirmed good,74-L1-04,PA 5.5.P3.US.01,55GAA0-CU-7301,N/A,,,,,,MZH-0315,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-007,55GAA0-DAS-9002,MTCA.4 Chassis #1,MTCA-12-2P-ML,confirmed good,74-L1-04,PA 5.5.P3.US.01,55GAA0-CU-7301,55GAA0-PCF-9003,,,,,,MZL-0315,low limit switch,valve box,DONE
D1-N9-GAA0-COMP-008,55GAA0-DAS-9003,MTCA.4 Chassis #2,MTCA-12-2P-ML,confirmed good,74-L1-04,PA 5.5.P3.US.01,55GAA0-CU-7301,55GAA0-PCF-9004,,,,,,ATG-0315,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-009,55GAA0-CCD-3201,Infrared Camera #1,TBD,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PCF-9003,,Not in diagram/Need to be removed from sheet,,,,MZH-0317,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-010,55GAA0-CCD-3203,Infrared Camera #2,TBD,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PCF-9003,,,,,,MZL-0317,low limit switch,valve box,DONE
D1-N9-GAA0-COMP-011,55GAA0-CCD-3202,Visible Camera #1,TBD,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PCF-9004,,,,,,ATG-0317,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-012,55GAA0-CCD-3204,Visible Camera #2,TBD,unconfirmed,11-L2-C14,PA 5.5.P3.US.01,N/A,55GAA0-PCF-9004,,,,,,MP-0004,pressure transmitter,valve box,DONE
D1-N9-GAA0-COMP-013,55GAA0-PSU-9006,Power Supply,Caen SY5527LC,unconfirmed,74-L2-04,PA 5.5.P3.US.01,74-L2-08,55GAA0-PCF-9002,,Tag need checking,,,,MZH-0319,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-014,55GAA0-MTE-1101,Thermocouple: N Type,A10 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MZL-0319,low limit switch,valve box,DONE
D1-N9-GAA0-COMP-015,55GAA0-MTE-1102,Thermocouple: N Type,A10 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,ATG-0319,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-016,55GAA0-MTE-1103,Thermocouple: N Type,A10 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MP-0002,pressure transmitter,valve box,DONE
D1-N9-GAA0-COMP-017,55GAA0-CSO-1101,Calibration source: filament,A10 Calibration source,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,Newly added/Edited,,,,MZH-0321,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-018,55GAA0-CSO-1102,Calibration source: filament,A10 Calibration source,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MZL-0321,low limit switch,valve box,DONE
D1-N9-GAA0-COMP-019,55GAA0-MTE-1201,Thermocouple: N Type,A20 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,ATG-0321,general actuator valve,valve box,DONE
D1-N9-GAA0-COMP-020,55GAA0-MTE-1202,Thermocouple: N Type,A20 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MZH-0301,high limit switch,valve box,DONE
D1-N9-GAA0-COMP-021,55GAA0-MTE-1401,Thermocouple: N Type,A30 Thermocouple,unconfirmed,CST-S07-UPR_14,PA 5.5.P3.US.01,N/A,55GAA0-PLC-9002,,,,,,MZL-0301,low limit switch,valve box,DONE
